n,case,T_sec,T_over_n,T_over_nlogn
10000,random,0.02600489999167621,2.6004899991676212e-06,1.9570637329341385e-07
10000,radix_best,0.00954299996374175,9.54299996374175e-07,7.181823094266379e-08
10000,radix_worst,0.03146909998031333,3.146909998031333e-06,2.3682857576557781e-07
20000,random,0.03866690001450479,1.9333450007252397e-06,1.3531522397472883e-07
20000,radix_best,0.017400399956386536,8.700199978193269e-07,6.089288296876831e-08
20000,radix_worst,0.058774399978574365,2.938719998928718e-06,2.0568163194095515e-07
40000,random,0.08009500004118308,2.002375001029577e-06,1.3097937423967875e-07
40000,radix_best,0.040950800001155585,1.0237700000288896e-06,6.696685381119537e-08
40000,radix_worst,0.16572340001584962,4.14308500039624e-06,2.7100751881874055e-07
80000,random,0.19919439998921007,2.4899299998651257e-06,1.528716827656802e-07
80000,radix_best,0.10008689999813214,1.2510862499766518e-06,7.681166150425719e-08
80000,radix_worst,0.31141419999767095,3.892677499970887e-06,2.389947347583606e-07
100000,random,0.25457980000646785,2.5457980000646784e-06,1.5327231218416843e-07
100000,radix_best,0.11690379999345168,1.1690379999345169e-06,7.038310081026337e-08
100000,radix_worst,0.3807682999758981,3.807682999758981e-06,2.292453593814522e-07
